Date,Usage_USgal,year,month,day,day_of_week
2016-09-09,118,2016,9,9,Friday
2016-09-10,147,2016,9,10,Saturday
2016-09-11,122,2016,9,11,Sunday
2016-09-12,151,2016,9,12,Monday
2016-09-13,121,2016,9,13,Tuesday
2016-09-14,134,2016,9,14,Wednesday
2016-09-15,201,2016,9,15,Thursday
2016-09-16,142,2016,9,16,Friday
2016-09-17,200,2016,9,17,Saturday
2016-09-18,195,2016,9,18,Sunday
2016-09-19,135,2016,9,19,Monday
2016-09-20,157,2016,9,20,Tuesday
2016-09-21,125,2016,9,21,Wednesday
2016-09-22,169,2016,9,22,Thursday
2016-09-23,191,2016,9,23,Friday
2016-09-24,104,2016,9,24,Saturday
2016-09-25,230,2016,9,25,Sunday
2016-09-26,114,2016,9,26,Monday
2016-09-27,141,2016,9,27,Tuesday
2016-09-28,171,2016,9,28,Wednesday
2016-09-29,105,2016,9,29,Thursday
2016-09-30,169,2016,9,30,Friday
2016-10-01,231,2016,10,1,Saturday
2016-10-02,214,2016,10,2,Sunday
2016-10-03,198,2016,10,3,Monday
2016-10-04,146,2016,10,4,Tuesday
2016-10-05,97,2016,10,5,Wednesday
2016-10-06,202,2016,10,6,Thursday
2016-10-07,158,2016,10,7,Friday
2016-10-08,242,2016,10,8,Saturday
2016-10-09,171,2016,10,9,Sunday
2016-10-10,147,2016,10,10,Monday
2016-10-11,163,2016,10,11,Tuesday
2016-10-12,195,2016,10,12,Wednesday
2016-10-13,173,2016,10,13,Thursday
2016-10-14,166,2016,10,14,Friday
2016-10-15,211,2016,10,15,Saturday
2016-10-16,1,2016,10,16,Sunday
2016-10-17,6,2016,10,17,Monday
2016-10-18,5,2016,10,18,Tuesday
2016-10-19,10,2016,10,19,Wednesday
2016-10-20,1,2016,10,20,Thursday
2016-10-21,8,2016,10,21,Friday
2016-10-22,3,2016,10,22,Saturday
2016-10-23,163,2016,10,23,Sunday
2016-10-24,197,2016,10,24,Monday
2016-10-25,182,2016,10,25,Tuesday
2016-10-26,150,2016,10,26,Wednesday
2016-10-27,162,2016,10,27,Thursday
2016-10-28,217,2016,10,28,Friday
2016-10-29,231,2016,10,29,Saturday
2016-10-30,192,2016,10,30,Sunday
2016-10-31,160,2016,10,31,Monday
2016-11-01,203,2016,11,1,Tuesday
2016-11-02,139,2016,11,2,Wednesday
2016-11-03,211,2016,11,3,Thursday
2016-11-04,149,2016,11,4,Friday
2016-11-05,170,2016,11,5,Saturday
2016-11-06,124,2016,11,6,Sunday
2016-11-07,122,2016,11,7,Monday
2016-11-08,128,2016,11,8,Tuesday
2016-11-09,73,2016,11,9,Wednesday
2016-11-10,94,2016,11,10,Thursday
2016-11-11,150,2016,11,11,Friday
2016-11-12,213,2016,11,12,Saturday
2016-11-13,214,2016,11,13,Sunday
2016-11-14,164,2016,11,14,Monday
2016-11-15,152,2016,11,15,Tuesday
2016-11-16,122,2016,11,16,Wednesday
2016-11-17,194,2016,11,17,Thursday
2016-11-18,124,2016,11,18,Friday
2016-11-19,267,2016,11,19,Saturday
2016-11-20,188,2016,11,20,Sunday
2016-11-21,189,2016,11,21,Monday
2016-11-22,154,2016,11,22,Tuesday
2016-11-23,270,2016,11,23,Wednesday
2016-11-24,359,2016,11,24,Thursday
2016-11-25,351,2016,11,25,Friday
2016-11-26,215,2016,11,26,Saturday
2016-11-27,364,2016,11,27,Sunday
2016-11-28,261,2016,11,28,Monday
2016-11-29,184,2016,11,29,Tuesday
2016-11-30,195,2016,11,30,Wednesday
2016-12-01,207,2016,12,1,Thursday
2016-12-02,141,2016,12,2,Friday
2016-12-03,164,2016,12,3,Saturday
2016-12-04,173,2016,12,4,Sunday
2016-12-05,269,2016,12,5,Monday
2016-12-06,205,2016,12,6,Tuesday
2016-12-07,173,2016,12,7,Wednesday
2016-12-08,148,2016,12,8,Thursday
2016-12-09,140,2016,12,9,Friday
2016-12-10,141.4405,2016,12,10,Saturday
2016-12-11,183.5488,2016,12,11,Sunday
2016-12-12,148.0108,2016,12,12,Monday
2016-12-13,181,2016,12,13,Tuesday
2016-12-14,170,2016,12,14,Wednesday
2016-12-15,188,2016,12,15,Thursday
2016-12-16,125,2016,12,16,Friday
2016-12-17,234,2016,12,17,Saturday
2016-12-18,126,2016,12,18,Sunday
2016-12-19,175,2016,12,19,Monday
2016-12-20,192,2016,12,20,Tuesday
2016-12-21,340,2016,12,21,Wednesday
2016-12-22,80,2016,12,22,Thursday
2016-12-23,25,2016,12,23,Friday
2016-12-24,18,2016,12,24,Saturday
2016-12-25,15,2016,12,25,Sunday
2016-12-26,19,2016,12,26,Monday
2016-12-27,18,2016,12,27,Tuesday
2016-12-28,25,2016,12,28,Wednesday
2016-12-29,19,2016,12,29,Thursday
2016-12-30,29,2016,12,30,Friday
2016-12-31,128,2016,12,31,Saturday
2017-01-01,199,2017,1,1,Sunday
2017-01-02,214,2017,1,2,Monday
2017-01-03,262,2017,1,3,Tuesday
2017-01-04,150,2017,1,4,Wednesday
2017-01-05,162,2017,1,5,Thursday
2017-01-06,144,2017,1,6,Friday
2017-01-07,202,2017,1,7,Saturday
2017-01-08,229,2017,1,8,Sunday
2017-01-09,203,2017,1,9,Monday
2017-01-10,137,2017,1,10,Tuesday
2017-01-11,171,2017,1,11,Wednesday
2017-01-12,177,2017,1,12,Thursday
2017-01-13,140,2017,1,13,Friday
2017-01-14,209,2017,1,14,Saturday
2017-01-15,120,2017,1,15,Sunday
2017-01-16,176,2017,1,16,Monday
2017-01-17,203,2017,1,17,Tuesday
2017-01-18,331,2017,1,18,Wednesday
2017-01-19,257,2017,1,19,Thursday
2017-01-20,302,2017,1,20,Friday
2017-01-21,311,2017,1,21,Saturday
2017-01-22,336,2017,1,22,Sunday
2017-01-23,262,2017,1,23,Monday
2017-01-24,165,2017,1,24,Tuesday
2017-01-25,114,2017,1,25,Wednesday
2017-01-26,122,2017,1,26,Thursday
2017-01-27,123,2017,1,27,Friday
2017-01-28,195,2017,1,28,Saturday
2017-01-29,230,2017,1,29,Sunday
2017-01-30,170,2017,1,30,Monday
2017-01-31,169,2017,1,31,Tuesday
2017-02-01,121,2017,2,1,Wednesday
2017-02-02,169,2017,2,2,Thursday
2017-02-03,114,2017,2,3,Friday
2017-02-04,231,2017,2,4,Saturday
2017-02-05,209,2017,2,5,Sunday
2017-02-06,121,2017,2,6,Monday
2017-02-07,136,2017,2,7,Tuesday
2017-02-08,182,2017,2,8,Wednesday
2017-02-09,136,2017,2,9,Thursday
2017-02-10,213,2017,2,10,Friday
2017-02-11,127,2017,2,11,Saturday
2017-02-12,210,2017,2,12,Sunday
2017-02-13,271,2017,2,13,Monday
2017-02-14,174,2017,2,14,Tuesday
2017-02-15,189,2017,2,15,Wednesday
2017-02-16,184,2017,2,16,Thursday
2017-02-17,276,2017,2,17,Friday
2017-02-18,387,2017,2,18,Saturday
2017-02-19,393,2017,2,19,Sunday
2017-02-20,262,2017,2,20,Monday
2017-02-21,181,2017,2,21,Tuesday
2017-02-22,125,2017,2,22,Wednesday
2017-02-23,149,2017,2,23,Thursday
2017-02-24,151,2017,2,24,Friday
2017-02-25,220,2017,2,25,Saturday
2017-02-26,173,2017,2,26,Sunday
2017-02-27,135,2017,2,27,Monday
2017-02-28,115,2017,2,28,Tuesday
2017-03-01,88,2017,3,1,Wednesday
2017-03-02,291,2017,3,2,Thursday
2017-03-03,241,2017,3,3,Friday
2017-03-04,416,2017,3,4,Saturday
2017-03-05,313,2017,3,5,Sunday
2017-03-06,226,2017,3,6,Monday
2017-03-07,121,2017,3,7,Tuesday
2017-03-08,117,2017,3,8,Wednesday
2017-03-09,190,2017,3,9,Thursday
2017-03-10,174,2017,3,10,Friday
2017-03-11,190,2017,3,11,Saturday
2017-03-12,6,2017,3,12,Sunday
2017-03-13,169,2017,3,13,Monday
2017-03-14,100,2017,3,14,Tuesday
2017-03-15,195,2017,3,15,Wednesday
2017-03-16,156,2017,3,16,Thursday
2017-03-17,152,2017,3,17,Friday
2017-03-18,280,2017,3,18,Saturday
2017-03-19,268,2017,3,19,Sunday
2017-03-20,261,2017,3,20,Monday
2017-03-21,111,2017,3,21,Tuesday
2017-03-22,209,2017,3,22,Wednesday
2017-03-23,137,2017,3,23,Thursday
2017-03-24,120,2017,3,24,Friday
2017-03-25,144,2017,3,25,Saturday
2017-03-26,188,2017,3,26,Sunday
2017-03-27,189,2017,3,27,Monday
2017-03-28,173,2017,3,28,Tuesday
2017-03-29,167,2017,3,29,Wednesday
2017-03-30,144,2017,3,30,Thursday
2017-03-31,169,2017,3,31,Friday
2017-04-01,169,2017,4,1,Saturday
2017-04-02,254,2017,4,2,Sunday
2017-04-03,151,2017,4,3,Monday
2017-04-04,162,2017,4,4,Tuesday
2017-04-05,179,2017,4,5,Wednesday
2017-04-06,79,2017,4,6,Thursday
2017-04-07,102,2017,4,7,Friday
2017-04-08,83,2017,4,8,Saturday
2017-04-09,201,2017,4,9,Sunday
2017-04-10,73,2017,4,10,Monday
2017-04-11,5,2017,4,11,Tuesday
2017-04-12,5,2017,4,12,Wednesday
2017-04-13,61,2017,4,13,Thursday
2017-04-14,167,2017,4,14,Friday
2017-04-15,144,2017,4,15,Saturday
2017-04-16,218,2017,4,16,Sunday
2017-04-17,181,2017,4,17,Monday
2017-04-18,136,2017,4,18,Tuesday
2017-04-19,146,2017,4,19,Wednesday
2017-04-20,186,2017,4,20,Thursday
2017-04-21,129,2017,4,21,Friday
2017-04-22,219,2017,4,22,Saturday
2017-04-23,111,2017,4,23,Sunday
2017-04-24,127,2017,4,24,Monday
2017-04-25,118,2017,4,25,Tuesday
2017-04-26,77,2017,4,26,Wednesday
2017-04-27,163,2017,4,27,Thursday
2017-04-28,192,2017,4,28,Friday
2017-04-29,151,2017,4,29,Saturday
2017-04-30,141,2017,4,30,Sunday
2017-05-01,104,2017,5,1,Monday
2017-05-02,129,2017,5,2,Tuesday
2017-05-03,129,2017,5,3,Wednesday
2017-05-04,227,2017,5,4,Thursday
2017-05-05,78,2017,5,5,Friday
2017-05-06,193,2017,5,6,Saturday
2017-05-07,189,2017,5,7,Sunday
2017-05-08,123,2017,5,8,Monday
2017-05-09,156,2017,5,9,Tuesday
2017-05-10,123,2017,5,10,Wednesday
2017-05-11,159,2017,5,11,Thursday
2017-05-12,151,2017,5,12,Friday
2017-05-13,276,2017,5,13,Saturday
2017-05-14,292,2017,5,14,Sunday
2017-05-15,236,2017,5,15,Monday
2017-05-16,164,2017,5,16,Tuesday
2017-05-17,153,2017,5,17,Wednesday
2017-05-18,169,2017,5,18,Thursday
2017-05-19,115,2017,5,19,Friday
2017-05-20,161,2017,5,20,Saturday
2017-05-21,177,2017,5,21,Sunday
2017-05-22,149,2017,5,22,Monday
2017-05-23,178,2017,5,23,Tuesday
2017-05-24,163,2017,5,24,Wednesday
2017-05-25,110,2017,5,25,Thursday
2017-05-26,134,2017,5,26,Friday
2017-05-27,112,2017,5,27,Saturday
2017-05-28,175,2017,5,28,Sunday
2017-05-29,112,2017,5,29,Monday
2017-05-30,118,2017,5,30,Tuesday
2017-05-31,121,2017,5,31,Wednesday
2017-06-01,80,2017,6,1,Thursday
2017-06-02,125,2017,6,2,Friday
2017-06-03,293,2017,6,3,Saturday
2017-06-04,276,2017,6,4,Sunday
2017-06-05,151,2017,6,5,Monday
2017-06-06,123,2017,6,6,Tuesday
2017-06-07,92,2017,6,7,Wednesday
2017-06-08,181,2017,6,8,Thursday
2017-06-09,115,2017,6,9,Friday
2017-06-10,116,2017,6,10,Saturday
2017-06-11,173,2017,6,11,Sunday
2017-06-12,302,2017,6,12,Monday
2017-06-13,279,2017,6,13,Tuesday
2017-06-14,227,2017,6,14,Wednesday
2017-06-15,246,2017,6,15,Thursday
2017-06-16,223,2017,6,16,Friday
2017-06-17,263,2017,6,17,Saturday
2017-06-18,211,2017,6,18,Sunday
2017-06-19,131,2017,6,19,Monday
2017-06-20,126,2017,6,20,Tuesday
2017-06-21,151,2017,6,21,Wednesday
2017-06-22,135,2017,6,22,Thursday
2017-06-23,94,2017,6,23,Friday
2017-06-24,228,2017,6,24,Saturday
2017-06-25,187.2428,2017,6,25,Sunday
2017-06-26,74.8192,2017,6,26,Monday
2017-06-27,123.9379,2017,6,27,Tuesday
2017-06-28,98,2017,6,28,Wednesday
2017-06-29,141,2017,6,29,Thursday
2017-06-30,116,2017,6,30,Friday
2017-07-01,170,2017,7,1,Saturday
2017-07-02,192,2017,7,2,Sunday
2017-07-03,95,2017,7,3,Monday
2017-07-04,36,2017,7,4,Tuesday
2017-07-05,45,2017,7,5,Wednesday
2017-07-06,32,2017,7,6,Thursday
2017-07-07,147,2017,7,7,Friday
2017-07-08,157,2017,7,8,Saturday
2017-07-09,152,2017,7,9,Sunday
2017-07-10,145,2017,7,10,Monday
2017-07-11,130,2017,7,11,Tuesday
2017-07-12,119,2017,7,12,Wednesday
2017-07-13,133,2017,7,13,Thursday
2017-07-14,122,2017,7,14,Friday
2017-07-15,139,2017,7,15,Saturday
2017-07-16,171,2017,7,16,Sunday
2017-07-17,101,2017,7,17,Monday
2017-07-18,63.2069,2017,7,18,Tuesday
2017-07-19,97.362,2017,7,19,Wednesday
2017-07-20,88,2017,7,20,Thursday
2017-07-21,144,2017,7,21,Friday
2017-07-22,141,2017,7,22,Saturday
2017-07-23,144,2017,7,23,Sunday
2017-07-24,144,2017,7,24,Monday
2017-07-25,97,2017,7,25,Tuesday
2017-07-26,124,2017,7,26,Wednesday
2017-07-27,127,2017,7,27,Thursday
2017-07-28,95,2017,7,28,Friday
2017-07-29,119,2017,7,29,Saturday
2017-07-30,133,2017,7,30,Sunday
2017-07-31,168,2017,7,31,Monday
2017-08-01,150,2017,8,1,Tuesday
2017-08-02,92,2017,8,2,Wednesday
2017-08-03,98,2017,8,3,Thursday
2017-08-04,82,2017,8,4,Friday
2017-08-05,208,2017,8,5,Saturday
2017-08-06,142,2017,8,6,Sunday
2017-08-07,171,2017,8,7,Monday
2017-08-08,189,2017,8,8,Tuesday
2017-08-09,91,2017,8,9,Wednesday
2017-08-10,141,2017,8,10,Thursday
2017-08-11,106,2017,8,11,Friday
2017-08-12,198,2017,8,12,Saturday
2017-08-13,59,2017,8,13,Sunday
2017-08-14,7,2017,8,14,Monday
2017-08-15,2,2017,8,15,Tuesday
2017-08-16,11,2017,8,16,Wednesday
2017-08-17,13,2017,8,17,Thursday
2017-08-18,108,2017,8,18,Friday
2017-08-19,252,2017,8,19,Saturday
2017-08-20,280,2017,8,20,Sunday
2017-08-21,94,2017,8,21,Monday
2017-08-22,2,2017,8,22,Tuesday
2017-08-23,5,2017,8,23,Wednesday
2017-08-24,129,2017,8,24,Thursday
2017-08-25,152,2017,8,25,Friday
2017-08-26,167,2017,8,26,Saturday
2017-08-27,234,2017,8,27,Sunday
2017-08-28,235,2017,8,28,Monday
2017-08-29,151,2017,8,29,Tuesday
2017-08-30,74,2017,8,30,Wednesday
2017-08-31,117,2017,8,31,Thursday
2017-09-01,137,2017,9,1,Friday
2017-09-02,135,2017,9,2,Saturday
2017-09-03,124,2017,9,3,Sunday
2017-09-04,151,2017,9,4,Monday
2017-09-05,156,2017,9,5,Tuesday
2017-09-06,119,2017,9,6,Wednesday
2017-09-07,193,2017,9,7,Thursday
2017-09-08,140,2017,9,8,Friday
2017-09-09,185,2017,9,9,Saturday
2017-09-10,156,2017,9,10,Sunday
2017-09-11,124,2017,9,11,Monday
2017-09-12,145,2017,9,12,Tuesday
2017-09-13,134,2017,9,13,Wednesday
2017-09-14,173,2017,9,14,Thursday
2017-09-15,103,2017,9,15,Friday
2017-09-16,128,2017,9,16,Saturday
2017-09-17,153,2017,9,17,Sunday
